Country,Firearms,Population,Firearms/100
Afghanistan,4270000.00,34169000.00,12.50
Albania,350000.00,2911000.00,12.00
Algeria,877000.00,41064000.00,2.10
American Samoa,400.00,56000.00,0.70
Andorra,10000.00,69000.00,14.10
Angola,2982000.00,26656000.00,11.20
Antigua and Barbuda,5000.00,94000.00,5.40
Argentina,3256000.00,44272000.00,7.40
Armenia,186000.00,3032000.00,6.10
Aruba,3000.00,105000.00,2.60
Australia,3573000.00,24642000.00,14.50
Austria,2577000.00,8592000.00,30.00
Azerbaijan,362000.00,9974000.00,3.60
Bahamas,74000.00,397000.00,18.80
Bahrain,181000.00,1419000.00,12.80
Bangladesh,659000.00,164828000.00,0.40
Barbados,10000.00,286000.00,3.50
Belarus,581000.00,9459000.00,6.10
Belgium,1451000.00,11444000.00,12.70
Belize,37000.00,375000.00,10.00
Benin,33000.00,11459000.00,0.30
Bermuda,3000.00,61000.00,4.60
Bhutan,6000.00,793000.00,0.80
Bolivia,218000.00,11053000.00,2.00
Bosnia and Herzegovina,1185000.00,3793000.00,31.20
Botswana,97000.00,2344000.00,4.10
Brazil,17510000.00,211243000.00,8.30
Brunei Darussalam,6000.00,434000.00,1.40
Bulgaria,590000.00,7045000.00,8.40
Burkina Faso,175000.00,19173000.00,0.90
Burundi,238000.00,11936000.00,2.00
Cabo Verde (Cape Verde),31000.00,533000.00,5.70
Cambodia,717000.00,16076000.00,4.50
Cameroon,510000.00,24514000.00,2.10
Canada,12708000.00,36626000.00,34.70
Cayman Islands,6000.00,62000.00,9.20
Central African Republic,94000.00,5099000.00,1.80
Chad,151000.00,14965000.00,1.00
Channel Islands,23000.00,165000.00,14.00
Chile,2220000.00,18313000.00,12.10
China,49735000.00,1388233000.00,3.60
"China, Macao SAR",22000.00,606000.00,3.60
Christmas Island,0.00,2000.00,0.00
Colombia,4971000.00,49068000.00,10.10
Comoros,12000.00,826000.00,1.50
"Congo, Republic of",119000.00,4866000.00,2.40
Costa Rica,493000.00,4906000.00,10.00
Côte d'Ivoire (Ivory Coast),1049000.00,23816000.00,4.40
Croatia,576000.00,4210000.00,13.70
Cuba,234000.00,11390000.00,2.10
Curaçao,4000.00,160000.00,2.60
"Cyprus, Rep. of",285000.00,839000.00,34.00
Czech Republic,1323000.00,10555000.00,12.50
Democratic Republic of Congo,946000.00,82243000.00,1.20
Denmark,567000.00,5712000.00,9.90
Djibouti,28000.00,911000.00,3.10
Dominica,5000.00,73000.00,6.20
Dominican Republic,795000.00,10767000.00,7.40
Ecuador,402000.00,16626000.00,2.40
Egypt,3931000.00,95215000.00,4.10
El Salvador,737000.00,6167000.00,12.00
England and Wales,2731000.00,58877000.00,4.60
Equatorial Guinea,112000.00,894000.00,12.50
Eritrea,23000.00,5482000.00,0.40
Estonia,65000.00,1306000.00,5.00
Ethiopia,377000.00,104345000.00,0.40
Falkland Islands,2000.00,3000.00,66.70
Faroe Islands,5000.00,49000.00,9.90
Fiji,5000.00,903000.00,0.50
Finland,1793000.00,5541000.00,32.40
France,12732000.00,64939000.00,19.60
French Guiana,55000.00,283000.00,19.60
French Polynesia,7000.00,289000.00,2.50
Gabon,61000.00,1801000.00,3.40
Gambia,137000.00,2120000.00,6.50
Georgia,402000.00,3973000.00,10.10
Germany,15822000.00,80636000.00,19.60
Ghana,2280000.00,28657000.00,8.00
Gibraltar,1000.00,32000.00,4.10
Greece,1920000.00,10893000.00,17.60
Greenland,13000.00,56000.00,22.30
